Id,Libro,Usuario,fecha_entrega,Sede
1,Libro5301,Usuario5,19/03/2021,Sede1
2,5405,1,13/03/2021,20/03/2021,Sede1
3,5281,4,08/03/2021,15/03/2021,Sede1
4,5294,4,14/02/2021,21/02/2021,Sede1
5,5326,1,02/03/2021,09/03/2021,Sede1
6,5306,5,13/01/2021,20/01/2021,Sede1
7,5411,9,15/03/2021,22/03/2021,Sede1
8,5374,8,30/03/2021,06/04/2021,Sede1
9,5354,8,12/02/2021,19/02/2021,Sede1
10,5405,3,01/04/2021,08/04/2021,Sede1
11,5372,10,10/02/2021,17/02/2021,Sede1
12,5374,2,13/03/2021,20/03/2021,Sede1
13,5335,7,13/02/2021,20/02/2021,Sede1
14,5443,2,5/03/2021,12/03/2021,Sede1
15,5414,3,15/03/2021,22/03/2021,Sede1
16,5322,2,20/01/2021,27/01/2021,Sede1
17,5292,7,20/02/2021,27/02/2021,Sede1
18,5393,10,10/02/2021,17/02/2021,Sede1
19,5291,8,10/01/2021,17/01/2021,Sede1
20,5394,9,25/03/2021,01/03/2021,Sede1
21,5376,3,26/03/2021,02/03/2021,Sede1
22,5309,2,04/02/2021,11/02/2021,Sede1
23,5256,2,05/02/2021,12/02/2021,Sede1
24,5276,3,05/01/2021,12/01/2021,Sede1
25,5269,8,05/03/2021,12/03/2021,Sede1
26,5156,9,06/03/2021,13/03/2021,Sede2
27,5185,7,06/02/2021,13/02/2021,Sede2
28,5162,10,08/03/2021,15/03/2021,Sede2
29,5130,2,08/02/2021,15/02/2021,Sede2
30,5111,9,08/01/2021,15/01/2021,Sede2
31,5120,9,08/03/2021,15/03/2021,Sede2
32,5197,3,02/01/2021,09/01/2021,Sede2
33,5219,2,28/03/2021,04/04/2021,Sede2
34,5199,2,28/01/2021,04/02/2021,Sede2
35,5203,2,28/01/2021,04/02/2021,Sede2
36,5119,2,25/01/2021,02/02/2021,Sede2
37,5207,4,21/01/2021,28/01/2021,Sede2
38,5205,7,21/02/2021,28/02/2021,Sede2
39,5140,1,21/03/2021,28/03/2021,Sede2
40,5126,1,11/01/2021,18/01/2021,Sede2
41,5123,1,11/02/2021,18/02/2021,Sede2
42,5194,4,11/03/2021,18/03/2021,Sede2
43,5217,4,01/02/2021,08/02/2021,Sede2
44,5194,10,01/01/2021,08/01/2021,Sede2
45,5207,8,01/02/2021,08/02/2021,Sede2
46,5162,7,01/03/2021,08/03/2021,Sede2
47,5116,4,15/01/2021,22/01/2021,Sede2
48,5101,4,15/03/2021,22/03/2021,Sede2
49,5151,9,20/01/2021,27/01/2021,Sede2
50,5182,4,22/03/2021,29/03/2021,Sede2
